reg,target,type
ACE2,ACE2,act
ACE2,NRM1,rep
ACE2,PLM2,rep
FKH1,FKH1,act
FKH2,CLB1,rep
FKH2,CLB6,rep
FKH2,FKH2,act
FKH2,MBP1,rep
FKH2,NDD1,rep
HCM1,CLB3,act
HCM1,CLB4,act
HCM1,FKH1,act
HCM1,HCM1,act
HCM1,MBP1,act
HCM1,NDD1,act
HCM1,NRM1,act
HCM1,SWI6,act
HCM1,WHI5,act
HCM1,YHP1,act
MBP1,CLB6,act
MBP1,PLM2,rep
NRM1,CLB6,rep
NRM1,HCM1,rep
NRM1,NRM1,act
NRM1,STB1,rep
NRM1,SWI4,rep
NRM1,YHP1,rep
NRM1,YOX1,rep
SWI5,FKH1,act
SWI5,SWI5,act
SWI6,CLB6,act
SWI6,CLN1,act
SWI6,CLN2,act
SWI6,SWI6,act
SWI6,YOX1,act
WHI5,HCM1,rep
WHI5,NRM1,rep
WHI5,TOS4,rep
WHI5,WHI5,act
WHI5,YHP1,rep
WHI5,YOX1,rep
YOX1,YOX1,act
