,start,end,path,graph,sign,time
0,ACE2,CDC20,"['ACE2', 'SWI5', 'CDC20']",grn,act,16.456993476699967
1,ACE2,CLB1,"['ACE2', 'SWI5', 'CLB1']",grn,act,15.426362129447147
2,ACE2,CLB3,"['ACE2', 'NRM1', 'HCM1', 'CLB3']",grn,act,21.751734448708234
3,ACE2,CLB4,"['ACE2', 'NRM1', 'HCM1', 'CLB4']",grn,act,22.403503216378752
4,ACE2,CLB5,"['ACE2', 'NRM1', 'HCM1', 'CLB5']",grn,rep,9.928962220266603
5,ACE2,CLB5,"['ACE2', 'SWI5', 'CLB5']",grn,rep,16.929570373828604
6,ACE2,CLB6,"['ACE2', 'CLB6']",grn,rep,17.359612368263523
7,ACE2,CLB6,"['ACE2', 'NRM1', 'CLB6']",grn,act,12.178105659187471
8,ACE2,CLN2,"['ACE2', 'NRM1', 'HCM1', 'CLN2']",grn,rep,9.833656292655462
9,ACE2,CLN3,"['ACE2', 'CLN3']",ref,act,
10,ACE2,FKH1,"['ACE2', 'NRM1', 'HCM1', 'FKH1']",grn,act,24.196829827230566
11,ACE2,FKH1,"['ACE2', 'SWI5', 'FKH1']",grn,rep,5.825762721414608
12,ACE2,FKH2,"['ACE2', 'NRM1', 'HCM1', 'FKH2']",grn,act,24.133802504604873
13,ACE2,HCM1,"['ACE2', 'NRM1', 'HCM1']",grn,act,9.743996222421755
14,ACE2,MBP1,"['ACE2', 'CLN3', 'STB1', 'MBP1']",ref,act,
15,ACE2,NDD1,"['ACE2', 'NDD1']",grn,rep,18.08703346887457
16,ACE2,NDD1,"['ACE2', 'NRM1', 'NDD1']",grn,act,3.823776016298346
17,ACE2,NRM1,"['ACE2', 'NRM1']",grn,rep,0.04130119308286168
18,ACE2,PLM2,"['ACE2', 'PLM2']",grn,rep,0.0018587687283225323
19,ACE2,STB1,"['ACE2', 'CLN3', 'STB1']",ref,rep,
20,ACE2,SWI4,"['ACE2', 'SWI4']",grn,rep,15.084576810693514
21,ACE2,SWI4,"['ACE2', 'CLN3', 'STB1', 'SWI4']",ref,act,
22,ACE2,SWI5,"['ACE2', 'SWI5']",grn,rep,0.20880314274449774
23,ACE2,SWI6,"['ACE2', 'CLN3', 'STB1', 'SWI6']",ref,act,
24,ACE2,WHI5,"['ACE2', 'CLN3', 'WHI5']",ref,rep,
25,CDC20,ACE2,"['CDC20', 'ACE2']",ref,act,
26,CDC20,SWI5,"['CDC20', 'SWI5']",ref,act,
27,CDH1,ACE2,"['CDH1', 'ACE2']",ref,act,
28,CDH1,ACE2,"['CDH1', 'NDD1', 'ACE2']",ref,rep,
29,CDH1,ACE2,"['CDH1', 'NDD1', 'CDC20', 'ACE2']",ref,rep,
30,CDH1,ACE2,"['CDH1', 'MCM1', 'ACE2']",ref,rep,
31,CDH1,ACE2,"['CDH1', 'MCM1', 'CDC20', 'ACE2']",ref,rep,
32,CDH1,CDC20,"['CDH1', 'NDD1', 'CDC20']",ref,rep,
33,CDH1,CDC20,"['CDH1', 'MCM1', 'CDC20']",ref,rep,
34,CDH1,CLB2,"['CDH1', 'NDD1', 'CLB2']",ref,rep,
35,CDH1,CLB2,"['CDH1', 'MCM1', 'CLB2']",ref,rep,
36,CDH1,CLB5,"['CDH1', 'YHP1', 'SWI4', 'CLB5']",ref,act,
37,CDH1,CLB5,"['CDH1', 'YHP1', 'SWI6', 'CLB5']",ref,act,
38,CDH1,CLB5,"['CDH1', 'YHP1', 'MBP1', 'CLB5']",ref,act,
39,CDH1,CLB6,"['CDH1', 'YHP1', 'SWI4', 'CLB6']",ref,act,
40,CDH1,CLB6,"['CDH1', 'YHP1', 'SWI6', 'CLB6']",ref,act,
41,CDH1,CLB6,"['CDH1', 'YHP1', 'MBP1', 'CLB6']",ref,act,
42,CDH1,CLN1,"['CDH1', 'YHP1', 'SWI4', 'CLN1']",ref,act,
43,CDH1,CLN1,"['CDH1', 'YHP1', 'SWI6', 'CLN1']",ref,act,
44,CDH1,CLN1,"['CDH1', 'YHP1', 'MBP1', 'CLN1']",ref,rep,
45,CDH1,CLN1,"['CDH1', 'YHP1', 'MBP1', 'CLN1']",ref,act,
46,CDH1,CLN2,"['CDH1', 'YHP1', 'SWI4', 'CLN2']",ref,act,
47,CDH1,CLN2,"['CDH1', 'YHP1', 'SWI6', 'CLN2']",ref,act,
48,CDH1,CLN2,"['CDH1', 'YHP1', 'MBP1', 'CLN2']",ref,act,
49,CDH1,FKH1,"['CDH1', 'FKH1']",ref,rep,
50,CDH1,FKH2,"['CDH1', 'FKH2']",ref,rep,
51,CDH1,HCM1,"['CDH1', 'YHP1', 'SWI4', 'HCM1']",ref,act,
52,CDH1,HCM1,"['CDH1', 'YHP1', 'SWI6', 'HCM1']",ref,act,
53,CDH1,HCM1,"['CDH1', 'YHP1', 'MBP1', 'HCM1']",ref,act,
54,CDH1,MBP1,"['CDH1', 'YHP1', 'MBP1']",ref,act,
55,CDH1,MCM1,"['CDH1', 'MCM1']",ref,rep,
56,CDH1,NDD1,"['CDH1', 'NDD1']",ref,rep,
57,CDH1,NRM1,"['CDH1', 'NRM1']",ref,rep,
58,CDH1,PLM2,"['CDH1', 'YHP1', 'SWI4', 'PLM2']",ref,act,
59,CDH1,PLM2,"['CDH1', 'YHP1', 'SWI6', 'PLM2']",ref,act,
60,CDH1,PLM2,"['CDH1', 'YHP1', 'MBP1', 'PLM2']",ref,rep,
61,CDH1,PLM2,"['CDH1', 'YHP1', 'MBP1', 'PLM2']",ref,act,
62,CDH1,SWI4,"['CDH1', 'YHP1', 'SWI4']",ref,act,
63,CDH1,SWI5,"['CDH1', 'SWI5']",ref,act,
64,CDH1,SWI5,"['CDH1', 'NDD1', 'SWI5']",ref,rep,
65,CDH1,SWI5,"['CDH1', 'NDD1', 'CDC20', 'SWI5']",ref,rep,
66,CDH1,SWI5,"['CDH1', 'MCM1', 'SWI5']",ref,rep,
67,CDH1,SWI5,"['CDH1', 'MCM1', 'CDC20', 'SWI5']",ref,rep,
68,CDH1,SWI6,"['CDH1', 'YHP1', 'SWI6']",ref,act,
69,CDH1,TOS4,"['CDH1', 'YHP1', 'SWI4', 'TOS4']",ref,act,
70,CDH1,TOS4,"['CDH1', 'YHP1', 'MBP1', 'TOS4']",ref,act,
71,CDH1,YHP1,"['CDH1', 'YHP1']",ref,rep,
72,CDH1,YOX1,"['CDH1', 'YOX1']",ref,rep,
73,CDH1,YOX1,"['CDH1', 'YHP1', 'SWI4', 'YOX1']",ref,act,
74,CDH1,YOX1,"['CDH1', 'YHP1', 'MBP1', 'YOX1']",ref,act,
75,CLN1,ACE2,"['CLN1', 'CDH1', 'ACE2']",ref,rep,
76,CLN1,ACE2,"['CLN1', 'CDH1', 'NDD1', 'ACE2']",ref,act,
77,CLN1,ACE2,"['CLN1', 'CDH1', 'MCM1', 'ACE2']",ref,act,
78,CLN1,CDC20,"['CLN1', 'CDH1', 'NDD1', 'CDC20']",ref,act,
79,CLN1,CDC20,"['CLN1', 'CDH1', 'MCM1', 'CDC20']",ref,act,
80,CLN1,CDH1,"['CLN1', 'CDH1']",ref,rep,
81,CLN1,CLB2,"['CLN1', 'CDH1', 'NDD1', 'CLB2']",ref,act,
82,CLN1,CLB2,"['CLN1', 'CDH1', 'MCM1', 'CLB2']",ref,act,
83,CLN1,FKH1,"['CLN1', 'CDH1', 'FKH1']",ref,act,
84,CLN1,FKH2,"['CLN1', 'CDH1', 'FKH2']",ref,act,
85,CLN1,MBP1,"['CLN1', 'CDH1', 'YHP1', 'MBP1']",ref,rep,
86,CLN1,MCM1,"['CLN1', 'CDH1', 'MCM1']",ref,act,
87,CLN1,NDD1,"['CLN1', 'CDH1', 'NDD1']",ref,act,
88,CLN1,NRM1,"['CLN1', 'CDH1', 'NRM1']",ref,act,
