,reg,target,act,type
0,"[SWI4,SWI6]","[CLB5,CLB6]",,True
1,"[SWI4,SWI6]","[CLN1,CLN2]",,True
2,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",,True
3,"[SWI4,SWI6]","[SWI4,SWI6]",,True
4,"[SWI4,SWI6]","[MBP1,SWI6]",,True
5,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",,True
6,"[MBP1,SWI6]","[CLB5,CLB6]",,True
7,"[MBP1,SWI6]","[CLN1,CLN2]",,False
8,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,False
9,"[MBP1,SWI6]","[CLN1,CLN2]",,True
10,"[MBP1,SWI6]","[CLN1,CLN2]",,True
11,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,True
12,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,True
13,"[MBP1,SWI6]","[SWI4,SWI6]",,True
14,"[MBP1,SWI6]","[MBP1,SWI6]",,True
15,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",,True
16,"[[MBP1,SWI6],[SWI4,SWI6]]","[[MBP1,SWI6],[SWI4,SWI6]]",,True
17,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",,False
18,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,False
19,"[WHI5,STB1]","[WHI5,STB1]",,True
20,"[WHI5,STB1]","[CLB5,CLB6]",,True
21,"[WHI5,STB1]","[CLN1,CLN2]",,True
22,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,True
23,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",,True
24,"[WHI5,STB1]","[SWI4,SWI6]",,False
25,"[YOX1,NRM1,YHP1]","[HCM1,PLM2,TOS4]",,False
26,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,True
27,"[YOX1,NRM1,YHP1]","[CLB5,CLB6]",,False
28,"[YOX1,NRM1,YHP1]","[NDD1,FKH1,FKH2]",,False
29,"[YOX1,NRM1,YHP1]","[WHI5,STB1]",,False
30,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",,False
31,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,False
32,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,False
33,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,False
34,"[HCM1,PLM2,TOS4]","[CLB5,CLB6]",,False
35,"[HCM1,PLM2,TOS4]","[CLN1,CLN2]",,False
36,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2]",,True
37,"[HCM1,PLM2,TOS4]","[HCM1,PLM2,TOS4]",,True
38,"[HCM1,PLM2,TOS4]","[MBP1,SWI6]",,True
39,"[HCM1,PLM2,TOS4]","[YOX1,NRM1,YHP1]",,True
40,"[HCM1,PLM2,TOS4]","[SWI4,SWI6]",,False
41,"[HCM1,PLM2,TOS4]","[SWI4,SWI6]",,True
42,"[HCM1,PLM2,TOS4]","[HCM1,PLM2,TOS4]",,False
43,"[HCM1,PLM2,TOS4]","[WHI5,STB1]",,True
44,"[NDD1,FKH1,FKH2]","[NDD1,FKH1,FKH2]",,True
45,"[NDD1,FKH1,FKH2]","[MBP1,SWI6]",,False
46,"[NDD1,FKH1,FKH2]","[CLB5,CLB6]",,False
47,"[NDD1,FKH1,FKH2]","[NDD1,FKH1,FKH2]",,False
48,"[NDD1,FKH1,FKH2]","[HCM1,PLM2,TOS4]",,False
49,"[SWI5,ACE2]","[CLB5,CLB6]",,True
50,"[SWI5,ACE2]","[NDD1,FKH1,FKH2]",,True
51,"[SWI5,ACE2]","[SWI5,ACE2]",,True
52,"[SWI5,ACE2]","[CLB5,CLB6]",,False
53,"[SWI5,ACE2]","[NDD1,FKH1,FKH2]",,False
54,"[SWI5,ACE2]","[YOX1,NRM1,YHP1]",,False
55,"[SWI5,ACE2]","[HCM1,PLM2,TOS4]",,False
56,"[SWI5,ACE2]","[SWI4,SWI6]",,False
57,"[SWI5,ACE2]","[SWI5,ACE2]",,False
